strategy,wf_sharpe,wf_maxdd,val_sharpe,val_maxdd,test_sharpe,test_maxdd,test_sortino,test_calmar,runtime
Mom+MV b=0.4 tv=0.14,0.7558,-13.0,0.6858,-10.39,1.3492,-9.83,2.1163,2.2664,0.0
Mom+MV b=0.4 tv=0.2,0.7188,-16.2,0.6858,-10.9,1.3492,-9.83,2.1163,2.2664,0.0
Mom+MV b=0.4 tv=0.16,0.7529,-14.74,0.6858,-10.9,1.3492,-9.83,2.1163,2.2664,0.0
MinCVaR ra=0.3 sw=0.05,0.5007,-19.02,0.5447,-8.98,1.3323,-12.01,2.1403,1.8539,0.2
MinCVaR ra=0.5 sw=0.1,0.4123,-18.92,0.6164,-9.55,1.3087,-11.71,2.1386,1.8519,0.2
MinCVaR ra=1.0 sw=0.2,0.3774,-17.86,0.6405,-9.49,1.2967,-11.52,2.1248,1.8754,0.2
Mom+MV b=0.3 tv=0.12,0.7966,-10.38,0.6184,-9.07,1.2718,-9.52,1.9725,2.0559,0.8
SectorCov+RP+Mom b=0.3 tv=0.16,0.8034,-13.64,0.6183,-10.87,1.2718,-9.95,1.9725,2.0612,0.0
SectorCov+RP+Mom b=0.3 tv=0.14,0.8047,-12.02,0.6183,-10.52,1.2718,-9.95,1.9725,2.0612,0.0
Mom+MV b=0.3 tv=0.16,0.8034,-13.64,0.6183,-10.87,1.2718,-9.95,1.9725,2.0612,0.0
Mom+MV b=0.3 tv=0.2,0.7636,-14.98,0.6183,-10.87,1.2718,-9.95,1.9725,2.0612,0.0
Mom+RP b=0.3 tv=0.12,0.7966,-10.38,0.6184,-9.07,1.2718,-9.52,1.9725,2.0559,0.0
Mom+RP b=0.3 tv=0.14,0.8047,-12.02,0.6183,-10.52,1.2718,-9.95,1.9725,2.0612,0.0
Mom+RP b=0.3 tv=0.16,0.8034,-13.64,0.6183,-10.87,1.2718,-9.95,1.9725,2.0612,0.0
Mom+MV b=0.3 tv=0.14,0.8047,-12.02,0.6183,-10.52,1.2718,-9.95,1.9725,2.0612,0.0
SK CVaR MaxRatio L2=0.1,0.5931,-18.09,0.7886,-10.54,1.0553,-11.41,1.604,1.7121,0.2
SK CDaR max,0.5637,-19.02,1.3171,-8.58,1.0348,-14.54,1.562,1.302,0.3
MinCVaR ra=2.0 sw=0.2,0.3759,-18.45,0.5829,-10.34,0.9964,-12.44,1.5436,1.2473,0.2
MinCVaR ra=1.0 sw=0.1,0.3839,-19.35,0.6357,-10.11,0.9896,-12.53,1.5368,1.2246,0.2
MinCVaR ra=0.5 sw=0.05,0.4891,-18.68,0.5616,-10.31,0.9558,-12.58,1.4758,1.1555,0.2
SK CDaR min,0.3169,-18.93,1.1626,-9.13,0.9346,-15.42,1.4487,0.9906,0.3
MinCVaR ra=1.0 sw=0.05,0.4563,-18.15,0.3192,-11.36,0.9332,-12.7,1.4277,1.0829,0.2
MinCVaR ra=2.0 sw=0.1,0.408,-17.2,0.2469,-11.53,0.9323,-12.57,1.4266,1.091,0.2
MinCVaR ra=2.0 sw=0.05,0.4242,-17.0,0.1678,-10.68,0.9138,-12.34,1.3885,1.0765,0.2
SK CVaR MaxRatio L2=0.05,0.5693,-16.89,0.821,-10.62,0.9028,-12.36,1.3839,1.3719,0.2
Mom+MV b=0.7 lb=80,1.0478,-11.0,0.6575,-12.06,0.7684,-10.99,1.149,1.076,0.0
SK Variance min,0.39,-17.59,-0.1421,-13.31,0.7653,-10.76,1.1443,0.9804,0.1
SK CVaR min,0.1191,-22.54,0.0856,-10.11,0.7617,-12.67,1.1461,0.8364,0.8
SK Variance max,0.4252,-20.14,0.9509,-10.39,0.6954,-15.49,1.0632,0.8151,0.1
SK CVaR MaxRatio L2=0.001,0.2723,-23.05,0.8146,-10.74,0.6081,-14.14,0.9363,0.7729,0.2
SK CVaR max,0.2884,-23.07,0.828,-10.34,0.6081,-14.14,0.9363,0.7729,0.2
SK CVaR MaxRatio L2=0.01,0.2977,-21.39,0.7396,-11.71,0.6023,-14.2,0.9317,0.754,0.2
